state,lottery_dt
Ohio,5/12/2021
Maryland,5/20/2021
Oregon,5/21/2021
Colorado,5/25/2021
Delaware,5/25/2021
Colorado state data,5/25/2021
Delaware state data,5/25/2021
California,5/27/2021
California state data,5/27/2021
Arkansas,6/1/2021
New Mexico,6/1/2021
West Virginia,6/1/2021
Washington,6/3/2021
Kentucky,6/4/2021
North Carolina,6/10/2021
Massachusetts,6/15/2021
Massachusetts state data,6/15/2021
Maine,6/16/2021
Illinois,6/17/2021
Louisiana,6/17/2021
Nevada,6/17/2021
Nevada state data,6/17/2021
Michigan,7/1/2021
Missouri,7/21/2021
