State,Date,time,Daily_Admin,Pop,rate
Massachusetts state data,5/18/2021,-28,24515,6892465,355.678266
Massachusetts state data,5/19/2021,-27,23452,6887469,340.50244
Massachusetts state data,5/20/2021,-26,18410,6887757,267.2858523
Massachusetts state data,5/21/2021,-25,18494,6894768,268.2323756
Massachusetts state data,5/22/2021,-24,16583,6896773,240.4457853
Massachusetts state data,5/23/2021,-23,6473,6894276,93.88948165
Massachusetts state data,5/24/2021,-22,15031,6888427,218.2065659
Massachusetts state data,5/25/2021,-21,16139,6891682,234.1808574
Massachusetts state data,5/26/2021,-20,16264,6892302,235.9734092
Massachusetts state data,5/27/2021,-19,15232,6893711,220.9550125
Massachusetts state data,5/28/2021,-18,13667,6894980,198.2166736
Massachusetts state data,5/29/2021,-17,11814,6891121,171.4379997
Massachusetts state data,5/30/2021,-16,7108,6896311,103.0695976
Massachusetts state data,5/31/2021,-15,1881,6893965,27.28473382
Massachusetts state data,6/1/2021,-14,13368,6887794,194.0824595
Massachusetts state data,6/2/2021,-13,11966,6888199,173.717397
Massachusetts state data,6/3/2021,-12,10818,6890882,156.9900631
Massachusetts state data,6/4/2021,-11,10829,6891593,157.1334813
Massachusetts state data,6/5/2021,-10,9032,6894493,131.0031064
Massachusetts state data,6/6/2021,-9,3954,6895759,57.3395909
Massachusetts state data,6/7/2021,-8,8358,6892184,121.2678013
Massachusetts state data,6/8/2021,-7,8587,6891794,124.597456
Massachusetts state data,6/9/2021,-6,8602,6894900,124.7588798
Massachusetts state data,6/10/2021,-5,8335,6890567,120.9624694
Massachusetts state data,6/11/2021,-4,7929,6891043,115.0624078
Massachusetts state data,6/12/2021,-3,6611,6889651,95.95551357
Massachusetts state data,6/13/2021,-2,2689,6892672,39.01244684
Massachusetts state data,6/14/2021,-1,6749,6894136,97.89479059
Massachusetts state data,6/15/2021,0,7046,6894627,102.1955212
Massachusetts state data,6/16/2021,1,6897,6895258,100.0252637
Massachusetts state data,6/17/2021,2,6995,6893246,101.4761406
Massachusetts state data,6/18/2021,3,6404,6894900,92.88024482
Massachusetts state data,6/19/2021,4,4686,6889239,68.01912374
Massachusetts state data,6/20/2021,5,2689,6888157,39.03801844
Massachusetts state data,6/21/2021,6,6228,6890208,90.38914355
Massachusetts state data,6/22/2021,7,6091,6895395,88.33431587
Massachusetts state data,6/23/2021,8,6180,6893202,89.65354562
Massachusetts state data,6/24/2021,9,5741,6895122,83.261761
Massachusetts state data,6/25/2021,10,5975,6894183,86.66726717
Massachusetts state data,6/26/2021,11,4428,6894946,64.22095256
Massachusetts state data,6/27/2021,12,2798,6896158,40.57331633
Massachusetts state data,6/28/2021,13,5224,6896792,75.74536103
Massachusetts state data,6/29/2021,14,4988,6891811,72.37575145
Massachusetts state data,6/30/2021,15,5119,6890178,74.29416192
Massachusetts state data,7/1/2021,16,5218,6894238,75.68639203
Massachusetts state data,7/2/2021,17,5158,6892666,74.83316325
Massachusetts state data,7/3/2021,18,3659,6890590,53.10140351
Massachusetts state data,7/4/2021,19,248,6888209,3.600355332
Massachusetts state data,7/5/2021,20,3712,6894186,53.84246958
Massachusetts state data,7/6/2021,21,4910,6888223,71.28108367
Massachusetts state data,7/7/2021,22,4811,6890157,69.82424348
Massachusetts state data,7/8/2021,23,4852,6887973,70.44162339
Massachusetts state data,7/9/2021,24,4451,6895225,64.55191818
Massachusetts state data,7/10/2021,25,3773,6892505,54.74062043
Massachusetts state data,7/11/2021,26,2517,6890022,36.531088
Massachusetts state data,7/12/2021,27,4594,6896111,66.61725718
Massachusetts state data,7/13/2021,28,2219,6891132,32.20080532
Colorado state data,5/17/2021,-8,10148,5759810,176.1863673
Colorado state data,5/18/2021,-7,14126,5755707,245.4259746
Colorado state data,5/19/2021,-6,15013,5761632,260.5685334
Colorado state data,5/20/2021,-5,18396,5756148,319.588725
Colorado state data,5/21/2021,-4,28745,5758554,499.1704515
Colorado state data,5/22/2021,-3,19293,5757834,335.0739184
Colorado state data,5/23/2021,-2,13811,5755971,239.9421401
Colorado state data,5/24/2021,-1,8747,5762647,151.787885
Colorado state data,5/25/2021,0,14093,5753564,244.9438296
Colorado state data,5/26/2021,1,14127,5757633,245.3612448
Colorado state data,5/27/2021,2,11884,5759758,206.3281131
Colorado state data,5/28/2021,3,13500,5755354,234.5641988
Colorado state data,5/29/2021,4,12249,5759260,212.6835739
Colorado state data,5/30/2021,5,9328,5758412,161.9891039
Colorado state data,5/31/2021,6,6086,5758895,105.6799959
Colorado state data,6/1/2021,7,4694,5757444,81.52923415
Colorado state data,6/2/2021,8,11326,5761090,196.5947416
Colorado state data,6/3/2021,9,11024,5761121,191.3516484
Colorado state data,6/4/2021,10,12233,5753703,212.6109047
Colorado state data,6/5/2021,11,0,5754698,0
Colorado state data,6/6/2021,12,19288,5756232,335.0803095
Colorado state data,6/7/2021,13,5519,5753555,95.92330307
Colorado state data,6/8/2021,14,6451,5763543,111.9276806
Colorado state data,6/9/2021,15,9780,5753708,169.9773433
Colorado state data,6/10/2021,16,9582,5760858,166.3293905
Colorado state data,6/11/2021,17,7294,5757851,126.6792072
Colorado state data,6/12/2021,18,8319,5761351,144.3932161
Colorado state data,6/13/2021,19,3442,5755371,59.80500649
Colorado state data,6/14/2021,20,2882,5756091,50.06870114
Colorado state data,6/15/2021,21,9747,5757867,169.281437
